,Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
6259,Jaadugar,,,"Comedy, Drama, Romance",,,Sameer Saxena,Jitendra Kumar,Javed Jaffrey,Arushi Sharma
6260,Jaadui Pankh Aur Anya Kahaniyan,-2010.0,,Family,,,Nitin Das,Raju Patil,Taufiq Shaikh,Tejal
6261,Jaag Utha Insan,-1984.0,,"Drama, Family",6.2,69,K. Viswanath,Mithun Chakraborty,Sridevi,Rakesh Roshan
6262,Jaago,-2004.0,122 min,"Crime, Drama, Thriller",6.5,154,Mehul Kumar,Sanjay Kapoor,Raveena Tandon,Manoj Bajpayee
6263,Jaago,-1985.0,,,,,Leena Das,Jambuwant Rao Dhote,Kamal Kapoor,Murad
6264,Jaago Hua Savera,-1987.0,,Drama,,,Shaukat Jamali,Shoma Anand,A.K. Hangal,Rohini Hattangadi
6265,Jaagruti,-1993.0,134 min,"Action, Drama",4.2,973,Suresh Krishna,Salman Khan,Karisma Kapoor,Ashok Saraf
6266,Jaako Raakhe Saaiyan,-2021.0,,Comedy,,,Rajiv S. Ruia,Arjun Rampal,Tigmanshu Dhulia,Rajpal Yadav
6267,Jaal,-1952.0,165 min,"Crime, Thriller",7.2,115,Guru Dutt,Dev Anand,Geeta Bali,K.N. Singh
6268,Jaal,-1986.0,,"Action, Drama, Thriller",5.0,103,Umesh Mehra,Rekha,Mithun Chakraborty,Mandakini
6269,Jaal,-1967.0,156 min,"Action, Crime, Drama",5.8,31,Moni Bhattacharjee,Biswajit Chatterjee,Mala Sinha,Sujit Kumar
6270,Jaal,-2017.0,,Drama,,,Aji Mathai,,,
6271,Jaal Pe Jaal,-2003.0,,Mystery,,,Aadesh Vishwakarma,Javed Khan,Kiran Kumar,Mahesh Raaj
6272,Jaal Saaz,-1969.0,136 min,Action,6.9,8,Mohammed Hussain,Aravind Sen,Bambi,Bela Bose
6273,Jaal Saz,-1959.0,139 min,Thriller,,,Aravind Sen,Kishore Kumar,Mala Sinha,Pran
6274,Jaal: The Trap,-2003.0,142 min,"Action, Drama, Romance",4.1,459,Guddu Dhanoa,Sunny Deol,Tabu,Reema Sen
6275,Jaali Note,-1960.0,155 min,"Action, Crime, Drama",7.3,77,Shakti Samanta,Dev Anand,Madhubala,Kundan
6276,Jaalsaaz,-1999.0,,Thriller,6.4,15,Shiv Kumar,Kamal Sadanah,Madhoo,Ronit Roy
6277,Jaan,-1996.0,170 min,"Action, Drama, Romance",4.1,540,Raj Kanwar,Ajay Devgn,Twinkle Khanna,Amrish Puri
6278,Jaan Bachi Lakhon Paaye,-1968.0,,Action,,,,,,
6279,Jaan E Jaana,-1988.0,,Romance,,,,,,
6280,Jaan Hatheli Pe,-1987.0,160 min,Action,5.6,48,Raghunath Jhalani,Dharmendra,Jeetendra,Hema Malini
6281,Jaan Hazir Hai,-1975.0,140 min,Drama,5.9,7,Manohar Nath Rangroo,Urmila Bhatt,Iftekhar,Jankidas
6282,Jaan Ki Baazi,-1985.0,139 min,Action,4.7,43,Ajay Kashyap,Sanjay Dutt,Anita Raj,Anuradha Patel
6283,Jaan Ki Kasam,-1991.0,,Adventure,,,Sushil Malik,Krishna,Saathi Ganguly,Suresh Oberoi
6284,Jaan Lada Denge,-1990.0,137 min,Action,6.6,5,Dilip Gulati,Hemant Birje,Sahila Chaddha,Natasha
6285,Jaan Likhu Janam Likhu,-2001.0,,"Music, Romance",3.3,9,Shahid Kapoor,Ayesha Takia,,
6286,Jaan Nissar,-1934.0,,,,,Kanjibhai Rathod,Sardar Akhtar,Maruti Rao,
6287,Jaan Pe Khelenge Hum,-2001.0,,Romance,,,Hamid Ali Khan,Sadashiv Amrapurkar,Arjun,Dinesh Hingoo
6288,Jaan Pechaan,-1991.0,,"Comedy, Drama",4.3,10,Kamal Saigal,Shekhar Suman,Sudha Chandran,Satish Shah
6289,Jaan Se Badhkar,-1991.0,,Drama,,,Rakesh Bedi,Aruna Irani,Satyendra Kapoor,Kiran Kumar
6290,Jaan Se Pyaara,-1992.0,180 min,"Action, Crime, Drama",5.3,106,Anand,Govinda,Divya Bharti,Aruna Irani
6291,Jaan Tere Liye,-1995.0,,Romance,,,Avtar Gill,Ved Goswami,Bharat Kapoor,Manmauji
6292,Jaan Tere Naam,-1992.0,150 min,"Drama, Romance",5.9,147,Deepak Balraj Vij,Ronit Roy,Farheen,Sulabha Deshpande
6293,Jaan Tu Hain Ke Nahin,-2017.0,110 min,"Comedy, Horror, Mystery",,,Kashmera Shah,,,
6294,Jaana Na Dil Se Door....,-2001.0,,Family,,,Vijay Anand,Rani Agarwal,Dev Anand,Vijay Anand
6295,Jaana Pehchana,-2011.0,,Drama,4.8,26,Sachin Pilgaonkar,Sachin,Birbal,Pushkar Jog
6296,Jaana... Let's Fall in Love,-2006.0,,"Comedy, Drama, Romance",5.7,34,Shahrukh Mirza,Rajesh Khanna,Zeenat Aman,Rehan Khan
6297,Jaanam,-1992.0,127 min,Romance,4.6,68,Vikram Bhatt,Rahul Roy,Pooja Bhatt,Paresh Rawal
6298,Jaanam Samjha Karo,-1999.0,153 min,"Drama, Romance",4.8,"1,705",Andaleeb Sultanpuri,Salman Khan,Urmila Matondkar,Jaspal Bhatti
6299,Jaanbaaz Mallika,-1936.0,,,,,Akhtari,Kapoor,,
6300,Jaandaar,-1979.0,,"Action, Crime, Thriller",4.6,5,S.K. Luthra,Vinod Mehra,Bindiya Goswami,Mahendra Sandhu
6301,Jaane Bahar Jaane Jigar,-2005.0,,Thriller,,,,,,
6302,Jaane Bhi Do Yaaro,-1983.0,132 min,"Comedy, Crime, Drama",8.4,"13,465",Kundan Shah,Naseeruddin Shah,Ravi Baswani,Bhakti Barve
6303,Jaane Bhi Do Yaaro,,135 min,"Comedy, Thriller",,,Sanjay Sharma,Anupam Kher,Vijay Raaz,Dilip Joshi
6304,Jaane Hoga Kya,-2006.0,155 min,"Action, Crime, Sci-Fi",2.7,167,Ankush,Glen Barreto,Glenn,Aftab Shivdasani
6305,Jaane Jigar,-1998.0,175 min,"Comedy, Drama, Family",3.3,30,Arshad Khan,Talat Jani,Jackie Shroff,Ayub Khan
6306,Jaane Kahan Se Aayi Hai,-2010.0,94 min,"Comedy, Drama, Fantasy",3.8,570,Milap Zaveri,Priyanka Chopra Jonas,Akshay Kumar,Jacqueline Fernandez
6307,Jaane Kyun De Yaaron,-2018.0,131 min,Drama,4.8,38,Akshay Anand,Muntazir Ahmad,Akshay Anand,Kabir Bedi
6308,Jaane Tu,-2008.0,155 min,"Comedy, Drama, Romance",7.5,"25,819",Abbas Tyrewala,Imran Khan,Genelia D'Souza,Manjari Fadnnis
6309,Jaane-Anjaane,-1971.0,139 min,Drama,6.5,40,Shakti Samanta,Shammi Kapoor,Leena Chandavarkar,Sandhya Roy
6310,Jaan-E-Bahaar,-1979.0,,"Drama, Family, Romance",6.4,7,Prakash Kapoor,Asrani,Manju Asrani,Master Bhagwan
6311,Jaanejaan,-1983.0,,"Romance, Thriller",4.2,5,Ramesh Behl,Randhir Kapoor,Neetu Singh,Ajit
6312,Jaaneman,-1976.0,110 min,"Crime, Drama, Romance",6.8,48,Chetan Anand,Dev Anand,Hema Malini,Prem Nath
6313,Jaan-E-Mann: Let's Fall in Love... Again,-2006.0,165 min,"Comedy, Drama, Musical",6.1,"8,218",Shirish Kunder,Salman Khan,Akshay Kumar,Preity Zinta
6314,Jaan-E-Wafa,-1990.0,,"Drama, Family, Romance",,,Rukun,Farooq Shaikh,Rati Agnihotri,Pradeep Khayyam
6315,Jaani Dost,-1983.0,153 min,"Action, Comedy, Drama",5.8,70,K. Raghavendra Rao,Dharmendra,Jeetendra,Parveen Babi
6316,Jaani Dushman,-1957.0,,,,,Aruna,Baburao Pahelwan,Suryakant,
6317,Jaani Dushman,-1979.0,154 min,"Action, Horror, Mystery",6.1,455,Rajkumar Kohli,Sunil Dutt,Sanjeev Kumar,Shatrughan Sinha
6318,Jaani Dushman: Ek Anokhi Kahani,-2002.0,170 min,"Action, Fantasy, Thriller",2.8,"3,240",Rajkumar Kohli,Sunny Deol,Arman Kohli,Manisha Koirala
6319,Jaanisaar,-2015.0,124 min,"Drama, Romance",5.0,116,Muzaffar Ali,Imran Abbas,Pernia Qureshi,Muzaffar Ali
6320,Jaanleva Black Blood,-2012.0,,Mystery,6.0,14,Rakesh Sawant,Rajesh Khanna,Rati Agnihotri,Tom Alter
6321,Jaanoo,-1985.0,,"Drama, Family, Romance",5.3,24,Jainendra Jain,Jackie Shroff,Kushboo,Rati Agnihotri
6322,Jaanwar,-1999.0,172 min,"Action, Crime, Drama",6.0,"2,578",Suneel Darshan,Akshay Kumar,Karisma Kapoor,Shilpa Shetty Kundra
6323,Jaanwar,-1982.0,,"Action, Adventure, Drama",6.8,43,S. Ali Raza,Rajesh Khanna,Zeenat Aman,Pradeep Kumar
6324,Jaanwar - on the Alert,-2008.0,,Action,,,R. Surya Kiran,,,
6325,Jaanwar Aur Insaan,-1972.0,155 min,"Action, Adventure, Thriller",6.3,36,Tapi Chanakya,Shashi Kapoor,Rakhee Gulzar,Shabnam
6326,Jaanwar Aur Insaan,-1986.0,,Action,,,Karthika,Mohanlal,,
6327,Jaar,-2022.0,,Drama,,,Phurba Tshering Lama,Geetanjali Thapa,Saugat Malla,Anoop Bikram Shahi
6328,Jaatiwad,-2015.0,,Drama,,,Sabir Shaikh,Hrishitaa Bhatt,Manoj Joshi,Ronne Shah
6329,Jaaydaad,-1989.0,129 min,"Crime, Drama",4.2,16,Dilip Naik,Shashi Kapoor,Raj Babbar,Madhavi
6330,Jaaye To Jaaye Kahan,-1980.0,,"Drama, Romance",,,Helen,Mehmood Jr.,Prema Narayan,Paintal
6331,Jab Andhera Hota Hai,-1974.0,,"Crime, Drama, Mystery",6.1,9,Deepak Bahry,Vikram Makandar,Prema Narayan,Madan Puri
6332,Jab Harry Met Sejal,-2017.0,143 min,"Comedy, Drama, Romance",5.3,"19,349",Imtiaz Ali,Shah Rukh Khan,Anushka Sharma,Björn Freiberg
6333,Jab Hum Na Honge,-1989.0,,Comedy,,,Birbal,Jankidas,Mushtaq Merchant,Paintal
6334,Jab Jab Phool Khile,-1965.0,141 min,"Musical, Romance",6.9,278,Suraj Prakash,Nanda,Shashi Kapoor,Agha
6335,Jab Jab Raat Woh Aayi,-1978.0,,Thriller,,,,,,
6336,Jab Pyar Hua,-1985.0,,Romance,,,,,,
6337,Jab Pyar Kisise Hota Hai,-1961.0,139 min,"Comedy, Drama, Musical",6.8,120,Nasir Hussain,Dev Anand,Asha Parekh,Sulochana Latkar
6338,Jab Pyar Kiya to Darna Kya,-1991.0,,Drama,4.5,10,Joy Augustine,Tom Alter,Abha Dhulia,Ashutosh Gowariker
6339,Jab Se Tumhe Dekha Hai,-1963.0,136 min,"Drama, Romance",6.2,26,Kedar Kapoor,Pradeep Kumar,Geeta Bali,Siddhu
6340,Jab Tak Hai Jaan,-2012.0,176 min,"Drama, Romance",6.7,"52,231",Yash Chopra,Shah Rukh Khan,Katrina Kaif,Anushka Sharma
6341,Jab Tum Kaho,-2016.0,94 min,Drama,5.6,14,Shankar Vikram,Parvin Dabas,Ambalika Sarkar,Amit Bhardwaj
6342,Jab We Met,-2007.0,138 min,"Comedy, Drama, Romance",7.9,"49,012",Imtiaz Ali,Shahid Kapoor,Kareena Kapoor,Tarun Arora
6343,Jab Yaad Kisi Ki Aati Hai,-1967.0,158 min,"Family, Romance",6.5,24,Naresh Saigal,Mala Sinha,Dharmendra,Anoop Kumar
6344,Jabariya Jodi,-2019.0,125 min,"Action, Comedy, Drama",4.4,"1,317",Prashant Singh,Sidharth Malhotra,Parineeti Chopra,Javed Jaffrey
6345,Jack & Dil,-2018.0,98 min,"Comedy, Family",7.5,715,Sachin P. Karande,Amit Sadh,Arbaaz Khan,Sonal Chauhan
6346,Jackpot,-2013.0,132 min,"Comedy, Thriller",2.0,721,Kaizad Gustad,Naseeruddin Shah,Sunny Leone,Sachiin Joshi
6347,Jackpot Do Karode,-2002.0,,Crime,,,Rakesh Saraiya,Beena Banerjee,Haniel Glow,Kuljeet Gosal
6348,Jacqueline I Am Coming,-2019.0,112 min,Drama,8.1,17,Banty Dubey,Raghuvir Yadav,Kiran D Patil,Shakti Kumar
6349,Jadni Bansari,-1948.0,,,,,Agha,,,
6350,Jadoo,-1951.0,,"Drama, Fantasy",5.8,8,Abdul Rashid Kardar,Suresh,Shyam Kumar,Nalini Jaywant
6351,Jadoo,-1966.0,,Fantasy,,,Chitra,Helen,Ranjan,Sunder
6352,Jadoo Mahal,-1962.0,,Action,,,Ajit,Helen,Hiralal,Azaad Irani
6353,Jadoo Mantar,-1988.0,,"Fantasy, Horror",,,Kommineni,Komi Neni,Anuradha,Shiv Krishna
6354,Jadoo Nagari,-1972.0,,Drama,,,Anjali Devi,Gemini Ganesan,,
6355,Jadoo Nagri,-1961.0,,"Action, Adventure, Fantasy",,,Radhakant,Vijaya Choudhury,Helen,Majnu
6356,Jadoo Tona,-2000.0,,Horror,,,Kishan Shah,Brij Gopal,Mohan Joshi,Satnam Kaur
6357,Jadu Bhare Naina,-1992.0,,Romance,,,Rita Bhaduri,Poonam Dasgupta,Anil Dhawan,Paintal
6358,Jadu Ka Shankh,-1974.0,,"Adventure, Family, Fantasy",7.6,9,Sai Paranjape,Nandita Aras,Sulabha Deshpande,Girish Karnad
6359,Jadu Nagari,-1986.0,,"Action, Adventure, Fantasy",4.0,9,K. Shankar,Sarath Babu,Sridevi,
6360,Jadu Nagri,-1940.0,,,,,Rajkumari,,,
6361,Jadu Tona,-1977.0,112 min,"Horror, Romance",6.1,46,Ravikant Nagaich,Ashok Kumar,Feroz Khan,Reena Roy
6362,Jadugar,-1954.0,,,,,Mohammed Hussain,Habib,Kamran,Nazir Kashmiri
6363,Jadugar,-1946.0,,,,,Anand Prasad Kapoor,Master Vithal,Putli,Murjehan
6364,Jadugar,-1942.0,,Family,,,Jayant Desai,,,
6365,Jadugar Daku,-1962.0,,,,,Chandrakant,Ajit,Bela Bose,Helen
6366,Jadui Angoothi,-1965.0,,Fantasy,,,A.M. Khan,Chitra,Manher Desai,Krishna Kumari
6367,Jadui Bandhan,-1941.0,,"Fantasy, Sci-Fi",,,Nanubhai Vakil,Sarojini,Siraj Syed,Baburao Pahelwan
6368,Jadui Chitra,-1948.0,,,,,Bhim,,,
6369,Jadui Danda,-1935.0,,"Action, Fantasy",,,Dwarka Khosla,Master Shiraz,Champa,Bibi
6370,Jadui Jhoola,-1935.0,,,,,Sadiq Ansari,,,
6371,Jadui Kismat,-1944.0,,,,,Anwari,,,
6372,Jadui Putli,-1946.0,,,,,Ramanlal Desai,Navinchandra,Basant Malini,Bhim
6373,Jadui Ratan,-1947.0,,"Action, Fantasy",,,Natwar Shyam,Nayantara,Mumtaz,Urmila
6374,Jag Biti,-1946.0,,,,,M. Sadiq,Suraiya,Sadiq Ali,Sulochana Latkar
6375,Jagadguru Aadi Sankaran,-1977.0,,,8.0,7,P. Bhaskaran,Murali Mohan,Kaviyoor Ponnamma,J.A.R. Anand
6376,Jagadguru Shankaracharya,-1955.0,,,,,Sheikh Fattelal,Abhi Bhattacharya,Sulochana Chatterjee,Helen
6377,Jagal Bhaag Hamar,-1978.0,,Action,,,Heena Kausar,Sujit Kumar,Prema Narayan,Kumud Tripathi
6378,Jaganmohini,-1978.0,163 min,Fantasy,6.6,31,B. Vittalacharya,Jayamalini,Narasimha Raju,Prabha
6379,Jagannath,-1996.0,,Action,,,Shibu Mitra,Shatrughan Sinha,Mukesh Khanna,Ronit Roy
6380,Jagat Jogini Maa Khodiyar,-2006.0,,"Drama, Family, History",,,Amar Solanki,Arvind Joshi,Dhruv Joshi,Sati Joshi
6381,Jagat Kesari,-1937.0,,,,,Homi Master,Dinshaw Bilimoria,Jamshedji,Jillo
6382,Jagat Mohini,-1940.0,,,,,Chunilal Parekh,Master Vithal,Kokila,Kamal
6383,Jagga Daku,-1959.0,,"Action, Thriller",,,Chandrakant,Chandrashekhar,Paidi Jairaj,Jabeen Jalil
6384,Jagga Jasoos,-2017.0,161 min,"Action, Adventure, Comedy",6.5,"9,428",Anurag Basu,Ranbir Kapoor,Katrina Kaif,Saswata Chatterjee
6385,Jaggu,-1952.0,,,,,Jagdish Sethi,Kamal Kapoor,Kuldip Kaur,Ram Mohan
6386,Jaggu,-1975.0,,Crime,5.9,12,Samir Ganguly,Jyoti Bakshi,Indira Bansal,Master Bhagwan
6387,Jaggu,-2004.0,,Action,4.1,9,Ramya Krishnan,Prakash Raj,Arjun Sarja,Reema Sen
6388,Jaggu Bhai,-1996.0,,Action,7.9,38,Mohan Babu,Monica Bedi,Ramya Krishnan,
6389,Jagir,-1959.0,,,,,Jag Mohan Mattu,Prem Nath,Meena Kumari,Ulhas
6390,Jagir,-1984.0,135 min,"Action, Adventure, Drama",6.4,156,Pramod Chakravorty,Dharmendra,Zeenat Aman,Mithun Chakraborty
6391,Jagira,-1990.0,,,,,Mehul Kumar,Danny Denzongpa,Dharmendra,Neelam Mehra
6392,Jagira,-2001.0,139 min,"Action, Crime, Drama",5.1,17,Kanti Shah,Ishrat Ali,Hemant Birje,Pinky Chinoy
6393,Jagirdar,-1937.0,166 min,,,,Mehboob Khan,Surendra,Motilal,Lala Yaqoob
6394,Jagjanani a Mother's Day Tribute,,,Drama,,,Abhishek Kumar,,,
6395,Jagran,-1936.0,152 min,Drama,,,Mohan Dayaram Bhavnani,Enakashi Rama Rao,Navin Yagnik,S.B. Nayampalli
6396,Jagriti,-1955.0,138 min,"Comedy, Drama, Family",6.8,140,Satyen Bose,Abhi Bhattacharya,Pranoti Ghosh,Bipin Gupta
6397,Jagriti,-1977.0,,"Action, Drama",,,Rajendra Bhatia,Vinod Mehra,Reena Roy,Nutan
6398,Jahan Ara,-1964.0,,Romance,5.6,18,Vinod Kumar,Bharat Bhushan,Mala Sinha,Shashikala
6399,Jahan Jaaeyega Hamen Paaeyega,-2007.0,137 min,"Action, Comedy, Crime",3.9,42,Janmendra Ahuja,Govinda,Divyaa Dwivedi,Razak Khan
6400,Jahan Mile Dharti Akash,-1968.0,,Drama,,,Mumtaz,Kishore Kumar,Feroz Khan,Raaj Kumar
6401,Jahan Pyar Miley,-1969.0,138 min,"Drama, Family",6.4,27,Lekh Tandon,Shashi Kapoor,Hema Malini,Nadira
6402,Jahan Sati Wahan Bhagwan,-1965.0,,"Adventure, Drama, History",,,Satish Kumar,Prithviraj Kapoor,Anita Guha,Mahipal
6403,Jahan Tum Le Chalo,-1999.0,173 min,Romance,6.1,23,Desh Deepak,Rana Jung Bahadur,Shail Chaturvedi,Sonali Kulkarni
6404,Jahanara,-1935.0,,,,,F.R. Irani,Yusuf Effendi,Violet Cooper,Sheela
6405,Jahazi Lutera,-1957.0,,Fantasy,,,Aakkoo,Anwar Hussain,Paidi Jairaj,Maruti
6406,Jahreela Badan,-2003.0,,Horror,,,Reena Kapoor,Raza Murad,Anil Nagrath,Amit Pachori
6407,Jai Ambe,-1957.0,,Drama,,,Manher Desai,Jeevan,Sheila Kashmiri,Sulochana Latkar
6408,Jai Ambe Maa,-1977.0,,Drama,,,Jal,Dalpat,Anita Guha,Hiralal
6409,Jai Baba Amarnath,-1983.0,90 min,"Drama, Fantasy",,,B.R. Ishara,Beena Banerjee,Mohan Choti,Paidi Jairaj
6410,Jai Baba Baidyanath,-1979.0,,Drama,,,Biswajit Chatterjee,Bipin Gupta,Soma Salkar,Trilochan
6411,Jai Balaji,-1976.0,,,,,A.P. Nagarajan,Gemini Ganesan,Aachi Manorama,Vijayalalitha
6412,Jai Balaji Mehndipur Wale,-2010.0,,Drama,,,Sanjay Suryavanshi,,,
6413,Jai Bangladesh,-1971.0,,Comedy,6.5,12,I.S. Johar,Dilip Dutt,Ambika Johar,I.S. Johar
6414,Jai Betaal,-1986.0,,Drama,,,,,,
6415,Jai Bharat,-1936.0,,,,,Master Mohammed,,,
6416,Jai Bharat,-1995.0,183 min,Action,,,Arjun,Goundamani,Charu Haasan,Ranjitha
6417,Jai Bhavani,-2000.0,81 min,Action,,,Kishan Shah,Sapna Sappu,Amit Pachori,Rajni Chandra
6418,Jai Bhawani,-1961.0,,,,,Dhirubhai Desai,Manher Desai,Jayshree Gadkar,Ram Mohan
6419,Jai Bhim,-1949.0,,,,,Anant Mane,,,
6420,Jai Bhim Comrade,-2011.0,199 min,Documentary,8.7,141,Anand Patwardhan,,,
6421,Jai Bolo Chakradhari,-1977.0,,,,,Chandrakant,Bhavana Bhatt,Kishore Bhatt,Padma Chavan
6422,Jai Chhathi Maa,-2019.0,141 min,Family,7.8,8,Murari Sinha,Preeti Jhangiani,Ravi Kishan,Gurleen Chopra
6423,Jai Chitod,-1961.0,,"Action, History",7.0,11,Jaswant Jhaveri,Nirupa Roy,Paidi Jairaj,Ram Singh
6424,Jai Devaa,-1993.0,,Romance,3.6,7,Lawrence D'Souza,Laxmikant Berde,Mithun Chakraborty,Danny Denzongpa
6425,Jai Dhakshineshwari Kali Maa,-1996.0,,Drama,6.7,11,Shantilal Soni,Ajinkya Deo,Jayshree Gadkar,Hema Malini
6426,Jai Dwarkadheesh,-1977.0,,Fantasy,,,Sushil Gupta,Ashish Kumar,Kanan Kaushal,Radha Saluja
6427,Jai Ganesh,-1978.0,,"Drama, Fantasy",,,Ramesh Deo,Kanan Kaushal,Master Tito,
6428,Jai Ganesh Deva,-2001.0,,Fantasy,3.5,6,K. Shankar,Delhi Ganesh,Jai Ganesh,Nizhalgal Ravi
6429,Jai Gangaajal,-2016.0,149 min,"Crime, Drama",5.6,"2,455",Prakash Jha,Priyanka Chopra Jonas,Prakash Jha,Manav Kaul
6430,Jai Hanuman,-1948.0,,Musical,7.4,10,Ramchandra Thakur,Nirupa Roy,P. Kailash,Ram Kumar
6431,Jai Hanuman,-1973.0,,Drama,,,Manu Desai,Faryal,Sailesh Kumar,Shyam Kumar
6432,Jai Hari Hara Putra Ayyappa,-1995.0,,Drama,,,,,,
6433,Jai Hind,,,"Action, Romance",,,Manoj Kumar,Rishi Kapoor,Kunal Goswami,Shilpa Shirodkar
6434,Jai Ho,-2014.0,135 min,"Action, Drama",5.1,"18,411",Sohail Khan,Salman Khan,Daisy Shah,Tabu
6435,Jai Ho Maihar Dham Ki,-1992.0,,Drama,,,Bandini Mishra,Bina Roy,,
6436,Jai Ho Mohabbat Ki,-1962.0,,Comedy,,,Vithaldas Panchotia,Paresh Bannerjee,Geeta Bose,Sulbha Kataria
6437,Jai Ho! Democracy,-2015.0,85 min,"Comedy, War",5.2,55,Bikramjeet Bhullar,Ranjit Kapoor,Azb Dahal,Dolly Ahluwalia
6438,Jai Jagannath,-2007.0,127 min,"Drama, Fantasy, History",7.9,37,Sabyasachi Mohapatra,Sritam Das,Brendra N. Gochhikar,Sehenawaj Khan
6439,Jai Jagannath,-1963.0,,Drama,,,Uday Shankar Pani,Bipin Gupta,,
6440,Jai Jagat Janani,-1976.0,,Fantasy,,,K.S. Gopalakrishnan,Gemini Ganesan,Padmini,Vanisri
6441,Jai Jai Durga Maa,-1992.0,,Drama,,,Disco Shanti,Yamuna,,
6442,Jai Jawaan Jai Kisaan,-2015.0,100 min,"Biography, Drama, History",5.2,28,Milann Ajmera,Rati Agnihotri,Kanchan Awasthi,Rishi Bhutani
6443,Jai Jawan Jai KIsan,-1971.0,,Drama,,,,,,
6444,Jai Jawan Jai Makan,-1971.0,,"Drama, Romance",,,Vishram Bedekar,Mukesh Acharya,Manju Asrani,Jaya Bachchan
6445,Jai Jwala,-1972.0,,Drama,,,Manohar Deepak,Sujit Kumar,Nazneen,Madhumati
6446,Jai Jwala Maa,-2000.0,,Drama,,,Dharmesh Tiwari,Vaidehi Amrute,Anil Dhawan,Deep Dhillon
6447,Jai Kaali,-1992.0,,Thriller,5.7,11,Nikhil Saini,Hema Malini,Jeetendra,Paresh Rawal
6448,Jai Karoli Maa,-1988.0,137 min,Drama,,,Bharat Bhushan,Sudhir Dalvi,Arun Govil,Alka Kapoor
6449,Jai Kishen,-1994.0,129 min,"Action, Drama",5.1,623,Sunil Agnihotri,Akshay Kumar,Ayesha Jhulka,Chandni
6450,Jai Maa Durga,-2000.0,139 min,Drama,,,Santilal Soni,Abhishek Chatterjee,Rinku Ghosh,Arun Govil
6451,Jai Maa Karwa Chauth,-1994.0,,"Drama, Fantasy, History",,,Pradeep Pandit,Master Ankit,Banjara,Kishore Anand Bhanushali
6452,Jai Maa Sherawaali,-2008.0,,"Drama, Family, Fantasy",,,Samir,Shashi,Mukesh Bharati,Julie Bir
6453,Jai Maa Vaishno Devi,-1994.0,,Drama,8.3,47,Shatilal Soni,Rakesh Bedi,Gajendra Chauhan,Devidas Chippa
6454,Jai Maa Vindhyavasini,-1984.0,,Drama,,,Bharat Bhushan,Uma Khosla,Jay Tilak,
6455,Jai Mahadev,-1955.0,,Drama,,,Nalini Jaywant,Jeevan,Trilok Kapoor,Mahipal
6456,Jai Mahakali,-1979.0,,,,,Babubhai Mistry,Vatsala Deshmukh,Vikram Gokhale,Surya Kumar
6457,Jai Mahakali,-1951.0,162 min,Fantasy,7.2,5,Dhirubhai Desai,Nirupa Roy,Shahu Modak,Ulhas
6458,Jai Mahalaxmi,-1951.0,,,,,Arun,Nirmala Devi,Mahipal,
6459,Jai Mahalaxmi Maa,-1976.0,,Fantasy,7.2,8,Vijay Sharma,Ashish Kumar,Kanan Kaushal,Anita Guha
6460,Jai Mahalaxmi Maa,-1997.0,,Drama,6.0,8,Prabha Thakur,Asrani,Rajni Bala,Rajesh Dubeay
6461,Jai Malhar,-1947.0,,Drama,,,D.S. Ambapkar,Lalita Pawar,,
6462,Jai Mata Vaibhav Laxmi,-2003.0,,Drama,,,V. Menon,Sudha Chandran,Pramod Moutho,Rajesh Sabharwal
6463,Jai Mummy Di,-2020.0,103 min,"Comedy, Drama, Romance",3.6,827,Navjot Gulati,Poonam Dhillon,Supriya Pathak,Sunny Singh Nijjar
6464,Jai Radhe Krishna,-1974.0,,,,,Yeshwant Pethkar,Mohan Choti,Jeevan,Randhawa
6465,Jai Santoshi Maa,-1975.0,145 min,"Drama, Fantasy",6.2,118,Vijay Sharma,Bharat Bhushan,Ashish Kumar,Kanan Kaushal
6466,Jai Santoshi Maa,-2006.0,,"Drama, Family",6.6,33,Ahmed Siddiqui,Nushrat Bharucha,Lalit Tiwari,Sanjay Swaraj
6467,Jai Shakumbhari Maa,-2000.0,149 min,"Drama, Family, Fantasy",,,Shiv Kumar,Mamta Agarwal,Pooja Agarwal,Eisshan
6468,Jai Shankar,-1951.0,,,,,Ishwarlal,,,
6469,Jai Shiv Shankar,-1990.0,90 min,Drama,5.3,19,S.A. Chandrashekhar,Rajesh Khanna,Jeetendra,Dimple Kapadia
6470,Jai Singh Are Baap Re: Chapter 1,-2014.0,142 min,"Action, Comedy, Drama",,,Sankalp Shrivastava,Chinmay Shrivastava,Sankalp Shrivastava,Upendra Kumar Shrivastava
6471,Jai Surya,-2004.0,,"Action, Crime, Drama",4.1,17,Manoj Kumar,Raj Kapoor,Kazan Khan,Laila
6472,Jai Swadesh,-1940.0,,,,,Aspi Irani,Radharani,Benjamin,Sayani Atish
6473,Jai Veeru: Friends Forever,-2009.0,160 min,"Action, Adventure, Crime",3.6,271,Puneet Sira,Fardeen Khan,Kunal Khemu,Dia Mirza
6474,Jai Vikraanta,-1995.0,195 min,Action,5.0,87,Sultan Ahmed,Sanjay Dutt,Zeba Bakhtiar,Amrish Puri
6475,Jail,-2009.0,131 min,Drama,6.2,"1,242",Madhur Bhandarkar,Manoj Bajpayee,Atul Kulkarni,Neil Nitin Mukesh
6476,Jail Queens,-2004.0,,Action,,,Chandni Gupta,Sunil Jaitley,Rahat Khan,Anil Nagrath
